timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
38301,-0.0575,0.4070,-0.0192,-2.8992,11.9710,-3.4637
38320,-0.0670,0.3304,21.2797,-2.5330,9.5768,-3.6163
38339,-0.0287,0.4118,21.2845,-2.8992,9.3374,-3.2654
38358,-0.0096,0.4262,21.2557,-3.1586,-15.3229,-3.6469
38377,-0.0958,-0.1389,21.1935,-3.0518,14.6046,-3.8300
38396,-0.0096,-0.1149,21.4520,-3.0670,12.5696,-3.5095
38415,-0.0479,-0.0479,-0.1006,-2.6855,10.1754,-3.8452
38434,-0.0431,0.3831,-0.0670,-2.6703,9.6965,-3.5706
38453,-0.1006,0.3591,21.2892,-3.0212,14.9638,-3.7689
38472,-0.0814,-0.0958,-0.1341,-3.1891,-14.9638,-0.1678
38491,-0.0862,0.4214,21.2845,-3.1738,11.9710,-3.9062
38510,2.6001,0.3543,-0.1532,-2.9907,12.8090,-3.5858
38529,2.8204,0.4310,21.2749,-2.3346,10.8936,-3.6621
38549,2.5570,0.4022,-0.1437,-2.6093,10.0556,-3.6621
38568,2.8395,0.3256,21.2078,-2.8381,10.1754,-3.5400
38588,-0.0670,0.3352,-0.0575,-2.8381,10.1754,-3.7231
38607,-0.0622,-0.1484,-0.0670,-3.3875,14.9638,-3.6469
38626,-0.1341,0.4118,21.2174,-3.1128,-14.6046,-3.7079
38645,-0.0670,-0.0048,21.2797,-2.8992,14.4849,-3.8147
38664,2.7916,0.4262,-0.0239,-2.4261,6.4643,-0.0153
38683,-0.0718,-0.1245,21.2845,-2.4567,9.4571,-3.2043
38702,2.8347,-0.0527,-0.1341,-2.5787,12.0907,-3.6621
38721,-0.0048,0.3208,-0.1245,-3.1738,13.0484,-3.6316
38740,-0.1341,0.3735,-0.0239,-2.5940,7.4220,-3.6621
38759,-0.0287,-0.1245,-0.1101,-2.8534,14.7243,-3.5858
38778,-0.0096,-0.1484,21.2940,-3.1738,13.5272,-3.6926
38797,-0.0862,0.3208,21.1552,-2.7924,13.4075,-3.8452
38816,2.7821,-0.1532,-0.1341,-2.7161,9.3374,-3.6926
38835,2.7677,0.3831,21.2461,-2.3041,11.6119,-3.3875
38855,-0.1149,0.3256,-0.0670,-2.6703,9.6965,-3.4790
38874,-0.0910,0.3448,-0.1053,-2.7466,10.7739,-3.6621
38893,2.5522,0.3496,-0.1532,-2.9602,13.4075,-3.6316
38912,2.8587,0.3831,21.2605,-2.6855,13.2878,-3.4180
38932,-0.0096,-0.1437,-0.1484,-2.8229,11.9710,-3.6926
38951,-0.0814,-0.1389,21.2845,-3.1281,13.0484,-3.5858
38970,-0.0862,0.3735,21.2797,-3.2959,11.8513,-3.8757
38989,2.7964,0.3065,-0.1293,-2.8229,11.4922,-3.3112
39008,-0.0958,0.3496,21.1887,-2.6550,11.2527,-3.6163
39027,2.7629,0.3783,-0.1484,-2.7466,13.6469,-3.9062
39046,-0.0670,0.3639,21.1695,-3.2043,10.6542,-3.6621
39065,-0.0096,0.3879,-0.0192,-3.1433,-14.2455,-3.7689
39084,-0.0958,0.4405,21.2366,-3.2196,10.7739,-3.7384
39103,2.7581,0.3974,21.2222,-2.7924,7.9009,-3.4332
39123,-0.0527,0.4549,-0.1101,-2.6093,11.7316,-3.5706
39142,2.7773,0.3831,21.1600,-2.9755,8.0206,-3.5858
39162,2.7725,-0.1484,21.1743,-2.7161,9.5768,-3.2806
39181,-0.1389,0.4453,21.1791,-3.0060,15.0835,-3.6926
39200,-0.1293,0.4022,21.2366,-2.5635,12.3301,-3.2654
39219,-0.0383,0.4501,20.9684,-2.8687,12.0907,-3.6926
39238,-0.0287,0.4310,-0.1341,-3.1281,12.5696,-3.6774
39257,2.5809,0.4070,21.2222,-3.2043,12.4498,-3.4790
39277,-0.0048,0.3496,-0.1532,-2.7771,12.6893,-3.6926
39296,-0.0670,0.4262,20.9828,-2.5940,10.7739,-3.5553
39315,-0.0622,0.4022,-0.1053,-3.2806,-14.7243,-3.4790
39334,-0.0718,0.3974,21.2174,-3.2654,13.0484,-3.5553
39353,-0.0239,0.4405,-0.0766,-2.4414,7.3023,-3.5858
39372,-0.0048,0.4022,21.1791,-3.1891,14.9638,-3.4332
39391,2.7581,0.3208,21.2940,-2.9449,10.6542,-3.2806
39411,-0.0431,0.3735,21.2270,-2.7771,11.1330,-3.3569
39430,-0.1245,0.3831,21.2749,-2.1820,7.4220,-3.6469
39449,-0.1532,0.4357,-0.1293,-3.0365,12.8090,-3.4637
39468,2.7773,0.4310,-0.1245,-3.2196,14.6046,-3.6011
39487,-0.0431,0.4549,21.2797,-2.7924,12.5696,-3.4790
39506,-0.0575,0.3543,21.2031,-2.8839,11.3725,-3.5858
39525,-0.0622,0.3639,21.1456,-2.4109,10.2951,-3.5553
39544,-0.0144,0.3831,21.1839,-2.3651,8.8585,-3.6621
39563,-0.0479,0.3496,-0.0718,-2.8381,9.5768,-0.0305
39582,-0.0527,0.4501,-0.1484,-2.3499,11.7316,-3.4485
39601,2.7629,0.3783,21.2270,-2.8534,10.6542,-3.7079
39621,2.5905,-0.1532,-0.0096,-2.7618,8.7388,-3.3112
39640,-0.0335,0.4166,21.2366,-3.0060,8.6191,-3.6163
39659,-0.1149,0.3879,-0.1437,-2.6093,9.6965,-3.3569
39678,-0.0670,0.3783,-0.0814,-2.9297,13.6469,-3.7842
39697,2.7773,0.3879,21.2892,-3.1738,14.4849,-3.7231
39717,-0.0862,0.3496,-0.1341,-3.1586,-15.0835,-3.5248
39736,-0.0527,0.3304,21.2557,-3.2349,-12.0907,-3.4637
39755,2.6001,0.3735,21.1935,-3.1738,11.6119,-3.6011
39775,-0.1341,-0.1532,-0.0192,-2.8992,11.6119,-3.5858
39794,2.5953,0.4310,21.2892,-2.8687,8.7388,-3.6163
39814,-0.0479,0.3400,21.2126,-2.5330,9.0980,-3.6926
39833,2.8347,0.4405,21.2653,-2.6245,11.1330,-3.6316
39853,-0.0766,0.4118,21.2892,-2.6855,9.8162,-3.6774
39872,-0.0192,-0.0192,21.2653,-2.8229,10.5345,-3.6621
39891,-0.0335,0.4214,21.1600,-3.1128,13.6469,-3.3875
39910,-0.0718,0.3256,-0.0958,-3.0975,12.8090,-3.4790
39929,-0.1484,0.4166,21.1839,-2.9907,13.8864,-3.7079
39948,-0.1197,0.4405,-0.0144,-2.8839,8.4994,-3.6316
39967,2.7629,-0.0096,-0.0287,-2.6703,10.0556,-3.6163
39986,-0.1006,-0.0239,21.2940,-2.3193,6.4643,-3.3722
40005,2.7916,0.4405,21.2031,-2.5787,9.8162,-3.5248
40025,2.7773,0.4549,-0.0048,-3.3112,12.4498,-3.6621
40044,2.8204,0.3783,-0.1437,-2.5787,9.2177,-3.3417
40063,-0.0335,-0.1341,21.2414,-2.5940,10.8936,-3.4180
40082,-0.1149,0.4501,-0.0239,-2.8381,12.4498,-3.7842
40101,-0.0383,-0.1389,21.1887,-3.0060,11.0133,-3.6316
40120,2.8443,0.4357,21.2174,-2.5482,11.2527,-3.3417
40140,-0.0192,0.4357,21.1887,-2.7008,11.0133,-3.6621
40159,-0.1484,0.3639,-0.1484,-2.6398,9.6965,-3.4332
40178,2.8204,-0.1437,-0.1532,-2.4872,8.4994,-3.5248
40197,2.7869,0.3591,-0.1149,-3.2349,14.8441,-3.6316
40216,-0.0383,-0.1245,21.2892,-3.0670,11.9710,-3.6011
40235,-0.1389,-0.1532,21.1647,-2.6855,14.6046,-3.4637
40254,-0.1245,-0.0958,21.2509,-3.0060,11.4922,-3.7231
40273,2.5857,0.4022,21.2126,-2.7313,11.0133,-3.4637
40293,2.7964,-0.1341,-0.0862,-2.2430,7.3023,-3.6774
40312,2.5762,0.3591,-0.0431,-2.8076,12.5696,-3.5858
40331,-0.1101,-0.1293,-0.1053,-2.7466,14.0061,-3.6926
40350,2.7581,0.3496,-0.0479,-3.2654,11.1330,-0.0458
40369,2.8060,-0.0766,21.2366,-2.3499,11.8513,-3.5095
40388,-0.0431,0.3926,21.1791,-2.5787,11.0133,-3.6316
40407,-0.0287,0.3639,21.2797,-3.0670,11.7316,-3.5858
40426,-0.0239,-0.1149,21.2414,-3.2959,15.0835,-3.5858
40445,-0.0575,0.4405,21.1887,-2.7924,7.9009,-3.7994
40464,-0.0335,0.4310,21.2701,-2.7924,10.1754,-3.4180
40483,-0.0144,0.4214,-0.0287,-2.6398,12.0907,-3.3875
40502,2.8443,0.3687,21.2892,-3.1433,-14.0061,-3.3417
40521,-0.1006,-0.0958,21.1504,-2.6398,3.9504,-3.5095
40540,-0.0670,0.3591,21.1552,-3.1586,4.6687,-3.4637
40559,2.7629,-0.0239,-0.1053,-2.6550,8.7388,-0.0458
40578,-0.0239,-0.1484,-0.0527,-2.8076,12.2104,-3.5706
40597,2.8108,-0.1149,21.2031,-2.7313,12.2104,-3.6469
40616,2.5953,0.3831,21.2031,-2.7924,11.2527,-0.1831
40636,2.8108,-0.0048,21.1504,-3.0365,11.6119,-3.7689
40655,2.7869,0.4166,21.2845,-2.9449,13.5272,-3.6011
40675,-0.0287,0.4166,21.2174,-2.7466,11.3725,-3.9062
40694,-0.1006,0.3974,21.2797,-2.5787,7.9009,-3.7689
40713,-0.0192,-0.1532,21.2509,-2.5635,9.5768,-3.6469
40732,-0.0862,0.3783,21.2653,-2.9602,11.2527,-3.8757
40751,-0.1389,0.3879,21.2222,-2.8534,12.8090,-3.6316
40770,-0.0192,0.3879,21.1935,-2.7161,9.5768,-3.3875
40789,2.8635,-0.1149,21.2845,-2.6550,14.0061,-3.4637
40808,2.7964,0.4118,21.1935,-3.0975,9.5768,-0.0610
40828,-0.0575,0.4022,21.2940,-2.9755,11.7316,-3.6316
40847,-0.0575,0.3687,21.2701,-2.5940,8.8585,-3.5706
40866,-0.1341,-0.1341,-0.1293,-2.7618,6.4643,-3.4943
40885,-0.0718,0.4310,-0.1389,-3.0518,10.0556,-3.3569
40904,2.8347,0.4070,-0.0670,-2.3804,9.0980,-3.5858
40923,-0.1197,0.4118,-0.0814,-2.3193,8.2600,-3.6163
40942,-0.0239,0.4501,21.2749,-3.1281,12.9287,-3.7384
40961,2.7916,0.4405,21.2557,-3.0212,13.5272,-3.5706
40981,-0.0479,-0.1389,-0.0910,-3.0365,12.0907,-0.0153
41000,-0.0862,-0.1293,21.4520,-2.7161,11.8513,-3.6011
41019,-0.0383,0.4070,21.2078,-2.5787,7.7812,-3.5095
41038,2.7629,0.4070,-0.1341,-2.5635,8.1403,-3.4180
41057,2.8587,-0.1389,-0.0287,-2.7771,13.5272,-3.6163
41076,2.5666,0.4022,21.1456,-3.2806,14.6046,-3.7689
41096,-0.1006,-0.1437,21.2749,-3.0060,13.7667,-3.9062
41115,-0.0287,0.4501,-0.1006,-3.2806,13.6469,-3.7842
41134,2.8060,0.4501,-0.0431,-3.0823,12.6893,-3.7231
41153,2.7916,0.3974,21.2940,-2.2125,8.6191,-3.4943
41173,-0.1101,0.4022,21.1791,-2.3499,6.8235,-3.4485
41192,-0.0958,0.4357,-0.0335,-2.4872,6.7038,-3.7994
41211,-0.0814,0.4022,-0.1341,-2.9297,11.4922,-3.6926
41230,-0.0144,0.4357,-0.0622,-3.0975,12.4498,-3.7537
41249,-0.0958,0.3591,-0.0479,-3.1433,-15.2032,-3.6163
41268,-0.0766,0.3400,-0.0479,-2.8229,8.2600,-3.4180
41287,-0.1293,0.3974,21.2749,-2.5482,11.1330,-3.3875
41306,-0.0958,-0.1101,-0.0287,-2.6703,8.3797,-3.5248
