accX,accY,accZ,gyroX,gyroY,gyroZ,label
-0.1101,0.4022,21.1791,-2.3499,6.8235,-3.4485,fault
-0.0958,0.4357,-0.0335,-2.4872,6.7038,-3.7994,fault
-0.0814,0.4022,-0.1341,-2.9297,11.4922,-3.6926,fault
-0.0144,0.4357,-0.0622,-3.0975,12.4498,-3.7537,fault
-0.0958,0.3591,-0.0479,-3.1433,-15.2032,-3.6163,fault
-0.0766,0.34,-0.0479,-2.8229,8.26,-3.418,fault
-0.1293,0.3974,21.2749,-2.5482,11.133,-3.3875,fault
-0.0958,-0.1101,-0.0287,-2.6703,8.3797,-3.5248,fault
2.8156,0.4022,-0.1389,-2.9297,-15.3229,-3.7537,fault
2.8204,0.431,-0.0958,-3.1433,12.5696,-3.7537,fault
2.7773,0.4214,21.2605,-2.8992,9.098,-3.5706,fault
-0.067,0.4357,21.1456,-2.655,14.6046,-3.3417,fault
-0.0527,0.3543,-0.0766,-2.5787,10.2951,-3.7842,fault
-0.0479,-0.1293,21.2797,-2.8687,11.8513,-3.3112,fault
